Aircraft,Engine,Role,Registration,Seats,Cargo Capacity (t),Flight Number,Date,Take-off Time (UTC),Origin Airport,Destination Airport,Distance OD (km),Distance Flown (km),CO2 (kgCO2e)
A320,V2527-A5,PAX,EC-MKN,186,0,Unknown,2025-01-10,2025-01-10 19:32:11.000,LEPA,LEVC,276.306553862542,282.979010559383,5470.3065838746
A20N,PW1127G-JM,PAX,EC-NFH,186,0,VY6609,2025-01-13,2025-01-13 19:51:00.000,GCTS,EGKK,2912.42643360928,3083.67505408397,26348.3840868306
A320,V2527-A5,PAX,EC-MGE,186,0,VY1241,2025-01-10,2025-01-10 10:04:22.393,LEAL,EGFF,1474.42264778263,1588.88861871797,18109.1049800514
A320,CFM56-5B4/3,PAX,EC-LOC,180,0,VY3708,2025-01-22,2025-01-22 15:53:40.000,LEBL,LEMH,241.04926068789,286.845157565625,5514.45251355774
A320,CFM56-5B4/P,PAX,EC-JSY,180,0,VY1571,2025-01-15,2025-01-15 09:08:40.078,LEAS,LEBL,711.581892786537,779.482039955278,10563.8681503475
A20N,PW1127G-JM,PAX,EC-NFJ,186,0,VY2221,2025-01-26,2025-01-26 20:14:48.000,LEZL,LEBL,809.278244789906,904.005096021409,9460.84240198306
A20N,PW1127G-JM,PAX,EC-NIJ,186,0,Unknown,2025-01-01,2025-01-01 14:03:47.000,LEIB,LEVC,173.935053871583,235.715966434913,4008.53866965786
A320,CFM56-5B4/3,PAX,EC-MBE,180,0,VY3909,2025-01-28,2025-01-28 10:54:50.000,LEPA,LEBL,201.966881210933,267.001299345906,5271.64990030047
A20N,PW1127G-JM,PAX,EC-NCU,186,0,VY1821,2025-01-30,2025-01-30 14:52:19.000,EDDH,LEBL,1492.56367670585,1583.51361719241,14299.6486118923
A320,V2527-A5,PAX,EC-MGE,186,0,VY2010,2025-01-16,2025-01-16 06:31:22.000,LEBL,LEGR,680.136814550994,735.285175838389,10149.4844342997
A20N,PW1127G-JM,PAX,EC-NCG,186,0,VY1573,2025-01-18,2025-01-18 21:08:22.174,LEAS,LEBL,711.581892786538,772.432796162891,8524.72457935757
A320,V2527-A5,PAX,EC-LRY,180,0,Unknown,2025-01-01,2025-01-01 20:07:37.571,GCXO,LEBL,2194.50285278083,2306.12464386526,25057.7222460089
A320,CFM56-5B4/3,PAX,EC-MBF,180,0,Unknown,2025-01-01,2025-01-01 11:59:54.000,LEBL,LFRS,714.235220176206,785.070651143413,10615.6661148535
A320,V2527-A5,PAX,EC-MFM,180,0,VY1174,2025-01-27,2025-01-27 11:41:10.889,LEVC,GCLP,1879.86106950748,1999.39332700313,22029.2334864525
A320,V2527-A5,PAX,EC-MFN,180,0,VY3002,2025-01-15,2025-01-15 10:57:39.000,LEBL,GCLP,2174.49487010699,2277.27470824021,24782.4050860492
A320,V2527-A5,PAX,EC-MOG,186,0,VY8308,2025-01-06,2025-01-06 06:19:55.000,EHAM,LEBL,1241.13624420465,1286.42039495869,15294.74890856
A320,CFM56-5B4/3,PAX,EC-LOC,180,0,VY6248,2025-01-08,2025-01-08 16:57:05.000,LEBL,LSZH,855.904239496887,986.621043635856,12497.6588252373
A320,V2527-A5,PAX,EC-MKN,186,0,Unknown,2025-01-09,2025-01-09 06:05:54.000,LEPA,LEVC,276.306553862542,284.39072043791,5492.37954871617
A320,CFM56-5B4/3,PAX,EC-MBL,180,0,VY8348,2025-01-22,2025-01-22 09:11:31.000,LEPA,LSZH,995.506425334755,1069.07450408078,13257.3623046582
A319,CFM56-5B6/P,PAX,EC-MKV,144,0,Unknown,2025-01-07,2025-01-07 05:47:03.000,LIRQ,LFPO,870.091904104308,898.493763517252,10830.575543155
A320,CFM56-5B4/3,PAX,EC-LLJ,180,0,VY3909,2025-01-08,2025-01-08 11:00:25.000,LEPA,LEBL,201.966881210933,305.25158604421,5735.18216197343
A321,V2533-A5,PAX,EC-MQB,220,0,VY6935,2025-01-17,2025-01-17 15:24:16.000,EKCH,LFPO,1036.6007340003,1139.95566317465,16173.0544507607
A320,V2527-A5,PAX,EC-MER,180,0,VY7845,2025-01-10,2025-01-10 05:03:30.000,LLBG,LEBL,3081.68133417658,3128.64827737132,33207.1101808153
A320,CFM56-5B4/3,PAX,EC-LVU,180,0,VY2013,2025-01-07,2025-01-07 11:14:06.000,LEGR,LEBL,680.136814550994,791.471034392923,10667.4640793594
A320,V2527-A5,PAX,EC-MOG,186,0,Unknown,2025-01-06,2025-01-06 12:48:06.000,LEBL,LICZ,1184.84129305423,1210.11800048029,14569.5774054763
A320,V2527-A5,PAX,EC-MJB,186,0,VY3923,2025-01-26,2025-01-26 15:20:12.000,LEPA,LEBL,201.966881210933,257.406848043269,5161.28507609263
A20N,PW1127G-JM,PAX,EC-NFH,186,0,VY8301,2025-01-20,2025-01-20 09:50:57.000,EHAM,LEBL,1241.13624420465,1295.17087332671,12242.8263537292
A320,CFM56-5B6/3,PAX,EC-KMI,180,0,VY8921,2025-01-13,2025-01-13 14:59:23.000,EBBR,LEVC,1326.5092592495,1375.90192962203,16123.5163406556
A20N,PW1127G-JM,PAX,EC-NIJ,186,0,VY8436,2025-01-31,2025-01-31 17:37:54.000,LPPT,EHAM,1846.29715992129,1933.02722070878,16882.1537259878
